Placement,Horse,Jockey,Trainer,Horse weight,Lane position,Win odds,Time in s,sec_pos1,sec_pos2,sec_pos3,sec_pos4,sec_pos5,sec_pos6
2,BEAT HOLLOW (G414),Y L Chung,Y S Tsui,1201,11,5,70.9,1,1,2,0,0,0
3,FORTUNE MASTER (D371),Z Purton,J Richards,1095,5,6,72.1,9,9,3,0,0,0
4,DAILY TROPHY (H283),H Bowman,C Fownes,1158,7,3,72.3,7,6,4,0,0,0
5,MY INTELLIGENT (G031),E C W Wong,W Y So,1120,6,8,75.4,2,2,5,0,0,0
6,MAGIC TRAVELLER (H102),K Teetan,W Y So,1108,10,55,76.0,10,10,6,0,0,0
7,ALL IS READY (G042),L Ferraris,M Newnham,1241,2,5,77.6,11,11,7,0,0,0
8,GENERAL ACE (G425),L Hewitson,K W Lui,1079,3,24,72.7,8,7,8,0,0,0
9,PERFECT ROCK (G175),H T Mo,Y S Tsui,1103,9,52,73.4,6,8,9,0,0,0
10,FINGERS CROSSED (G403),M Chadwick,M Newnham,1276,1,15,77.2,4,3,10,0,0,0
11,SUPER ELITE (H247),M L Yeung,P F Yiu,1087,4,11,73.9,5,5,11,0,0,0
1,PANDA (H466),Z Purton,C H Yip,1075,12,7,62.8,8,7,1,0,0,0
2,BOWSER (H460),A Hamelin,P F Yiu,1172,8,26,64.3,10,10,2,0,0,0
3,METRO WARRIOR (D387),K C Leung,D A Hayes,1210,13,5,64.3,2,2,3,0,0,0
4,LIFELINE EXPRESS (H439),J McDonald,J Size,1130,6,2,64.5,5,6,4,0,0,0
5,MR GOOD VIBES (H180),A Badel,D J Hall,1078,9,40,64.7,6,8,5,0,0,0
6,LESS IS MORE (H406),H Bowman,F C Lor,1098,11,6,66.1,9,5,6,0,0,0
7,SPARKLING DOLPHIN (C332),L Hewitson,Y S Tsui,1209,1,33,58.6,1,1,7,0,0,0
8,GANGNAM STAR (H326),K Teetan,P C Ng,1091,4,15,59.3,12,11,8,0,0,0
9,JOLLY COMPANION (H454),C L Chau,K L Man,1196,5,19,59.3,7,9,9,0,0,0
10,FAMILY FORTUNE (H447),H Bentley,C Fownes,989,14,97,59.3,14,14,10,0,0,0
11,LUCKY CHARM (J147),B Avdulla,C S Shum,1110,2,114,62.1,13,12,11,0,0,0
12,VALIANT ELEGANCE (D285),M Chadwick,D J Whyte,1129,7,29,63.0,3,3,12,0,0,0
13,PHILOS (H371),Y L Chung,A S Cruz,1147,10,60,59.9,4,4,13,0,0,0
14,PACKING BRILLIANT (H421),A Atzeni,K W Lui,1117,3,8,61.1,11,13,14,0,0,0
1,ILLUMINOUS (J170),K Teetan,F C Lor,999,6,19,70.6,9,6,1,0,0,0
2,YOUNG CHAMPION (J195),J McDonald,J Size,1121,1,7,71.4,6,5,2,0,0,0
3,NOT USUAL STAR (G396),C L Chau,W Y So,1022,4,23,73.0,4,4,3,0,0,0
4,I GIVE (H036),A Atzeni,P C Ng,1186,3,4,73.3,1,1,4,0,0,0
5,ORIENTAL SMOKE (E467),M L Yeung,D A Hayes,1244,5,44,73.4,7,7,5,0,0,0
6,MIDORI BEAUTY (G334),K De Melo,W Y So,1265,8,11,76.3,10,10,6,0,0,0
7,PRAWNS ELEVEN (J140),L Hewitson,M Newnham,1100,2,42,77.1,3,3,7,0,0,0
